Date,Price,Open,High,Low,Vol.,Change %
2/6/2024,0.1745,0.1673,0.1751,0.1665,25.20M,3.93%
2/5/2024,0.1679,0.1696,0.17,0.167,8.34M,-0.59%
2/2/2024,0.1689,0.1698,0.1703,0.1645,20.86M,-0.53%
2/1/2024,0.1698,0.1702,0.1723,0.1691,15.79M,0.53%
1/31/2024,0.1689,0.1668,0.1707,0.1668,10.78M,0.00%
1/30/2024,0.1689,0.166,0.17,0.1641,19.62M,1.20%
1/29/2024,0.1669,0.1648,0.1675,0.1625,6.60M,1.27%
1/26/2024,0.1648,0.1649,0.1667,0.162,10.95M,0.00%
1/25/2024,0.1648,0.1665,0.168,0.164,11.38M,-0.96%
1/24/2024,0.1664,0.1626,0.1699,0.1626,19.79M,1.77%
1/23/2024,0.1635,0.1631,0.1648,0.1612,6.95M,-0.24%
1/22/2024,0.1639,0.1628,0.1668,0.1625,4.52M,0.80%
1/19/2024,0.1626,0.1634,0.1643,0.1601,5.66M,-1.16%
1/18/2024,0.1645,0.1682,0.1685,0.1636,11.70M,-0.60%
1/17/2024,0.1655,0.1662,0.1687,0.1648,6.87M,-0.12%
1/16/2024,0.1657,0.1662,0.1692,0.1647,8.86M,-0.30%
1/15/2024,0.1662,0.1682,0.1715,0.165,31.37M,-1.07%
1/12/2024,0.168,0.169,0.1697,0.1639,22.62M,-0.59%
1/11/2024,0.169,0.1599,0.1691,0.1571,47.55M,6.69%
1/10/2024,0.1584,0.1606,0.1613,0.1561,21.33M,-1.31%
1/9/2024,0.1605,0.1618,0.1625,0.156,28.92M,-0.80%
1/8/2024,0.1618,0.1524,0.1748,0.1511,106.78M,7.22%
1/5/2024,0.1509,0.1526,0.1527,0.1483,9.06M,-1.05%
1/4/2024,0.1525,0.1515,0.1528,0.1469,4.45M,1.06%
1/3/2024,0.1509,0.1483,0.1513,0.1483,6.69M,1.75%
12/29/2023,0.1483,0.1452,0.1499,0.1452,8.83M,1.51%
12/28/2023,0.1461,0.1463,0.1511,0.1454,13.80M,0.00%
12/27/2023,0.1461,0.1528,0.1528,0.1423,65.57M,-4.01%
12/26/2023,0.1522,0.1602,0.1603,0.15,22.85M,-3.85%
12/25/2023,0.1583,0.1639,0.164,0.1511,21.70M,-2.82%
12/22/2023,0.1629,0.1583,0.1635,0.1583,20.07M,2.97%
12/21/2023,0.1582,0.1593,0.1596,0.1557,6.94M,0.13%
12/20/2023,0.158,0.1595,0.1595,0.1553,21.75M,-0.06%
12/19/2023,0.1581,0.1565,0.1597,0.1532,9.38M,0.70%
12/18/2023,0.157,0.1515,0.16,0.1515,18.13M,3.63%
12/15/2023,0.1515,0.1472,0.1536,0.144,11.98M,2.92%
12/14/2023,0.1472,0.1478,0.151,0.1471,1.80M,0.68%
12/13/2023,0.1462,0.1431,0.1518,0.1428,12.64M,2.96%
12/12/2023,0.142,0.1402,0.1455,0.14,6.55M,-0.56%
